T05,International migrants and refugees,,,,,
154,Northern Europe,2020,International migrant stock: Both sexes (% total population),14.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2020,International migrant stock: Male (% total Population),13.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
154,Northern Europe,2020,International migrant stock: Female (% total Population),14.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2005,International migrant stock: Both sexes (number),"12,004,024",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2005,International migrant stock: Both sexes (% total population),8.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2005,International migrant stock: Male (% total Population),8.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2005,International migrant stock: Female (% total Population),8.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2010,International migrant stock: Both sexes (number),"16,206,273",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2010,International migrant stock: Both sexes (% total population),10.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2010,International migrant stock: Male (% total Population),10.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2010,International migrant stock: Female (% total Population),10.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2015,International migrant stock: Both sexes (number),"15,815,457",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2015,International migrant stock: Both sexes (% total population),10.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2015,International migrant stock: Male (% total Population),9.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2015,International migrant stock: Female (% total Population),10.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2020,International migrant stock: Both sexes (number),"17,665,688",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2020,International migrant stock: Both sexes (% total population),11.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2020,International migrant stock: Male (% total Population),11.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
39,Southern Europe,2020,International migrant stock: Female (% total Population),12.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
155,Western Europe,2005,International migrant stock: Both sexes (number),"22,248,336",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
155,Western Europe,2005,International migrant stock: Both sexes (% total population),12.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
155,Western Europe,2005,International migrant stock: Male (% total Population),12.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
155,Western Europe,2005,International migrant stock: Female (% total Population),11.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
155,Western Europe,2010,International migrant stock: Both sexes (number),"24,015,264",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
155,Western Europe,2010,International migrant stock: Both sexes (% total population),12.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
155,Western Europe,2010,International migrant stock: Male (% total Population),12.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
